"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-09","5.59",,"0.00","0.0","0.0",,"78","51","  120","  110","0.0","14.1","19.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-10","7.61",,"0.00","0.0","0.0",,"77","59","  170","  170","0.0","15.0","18.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-11","13.20",,"0.00","0.0","0.0",,"73","61","  140","  140","0.0","23.0","33.1",,,,,,,"    1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-12","15.21",,"0.19","0.0","0.0",,"69","59","  240","  240","0.0","35.1","49.0","    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-13","15.66",,"0.00","0.0","0.0",,"68","54","  300","  300","0.0","31.1","50.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-14","12.30",,"0.00","0.0","0.0",,"82","48","  190","  180","0.0","28.0","42.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-15","5.14",,"0.14","0.0","0.0",,"83","63","  170","  180","0.0","15.0","18.1",,,"    1",,"    1",,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-16","8.72",,"0.00","0.0","0.0",,"74","57","   10","   10","0.0","21.9","29.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-17","6.93",,"0.00","0.0","0.0",,"74","58","  330","  180","0.0","16.1","21.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-18","8.28",,"0.00","0.0","0.0",,"79","57","  350","  340","0.0","17.0","23.9","    1",,,,,,"    1"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-19","6.93",,"0.01","0.0","0.0",,"57","51","  120","  100","0.0","14.1","17.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-20","9.17",,"0.01","0.0","0.0",,"75","55","   10","  320","0.0","21.9","29.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-21","8.50",,"0.00","0.0","0.0",,"62","47","   10","   10","0.0","19.9","25.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-22","7.83",,"0.00","0.0","0.0",,"65","42","  330","  330","0.0","18.1","23.9",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-23","9.84",,"0.00","0.0","0.0",,"72","44","  200","  200","0.0","21.0","28.0",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-24","10.51",,"0.00","0.0","0.0",,"77","57","  330","  330","0.0","21.0","29.1",,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2024-04-25","9.40",,"0.00","0.0","0.0",,"62","49","   10","   30","0.0","16.1","21.9",,,,,,,
